Date,Confirmed,Death,Recovered,Province/State,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-14,2.0,,,Trinidad and Tobago,2.0,,,2.0,0.0,,,,,,,2.0
2020-03-15,2.0,,,Trinidad and Tobago,2.0,,,2.0,0.0,,,0.0,,,,2.0
2020-03-16,4.0,,,Trinidad and Tobago,4.0,,,4.0,0.0,,,1.0,,,,5.0
2020-03-17,5.0,,,Trinidad and Tobago,5.0,,,5.0,0.0,,,0.25,,,,6.0
2020-03-18,7.0,,,Trinidad and Tobago,7.0,,,7.0,0.0,,,0.4,,,,8.0
2020-03-19,9.0,,,Trinidad and Tobago,9.0,,,9.0,0.0,,,0.286,,,,10.0
2020-03-20,9.0,,,Trinidad and Tobago,9.0,,,9.0,0.0,,,0.0,,,,10.0
2020-03-21,49.0,,1.0,Trinidad and Tobago,49.0,,1.0,48.0,0.0,,inf,4.444,,,,56.0
2020-03-22,50.0,,1.0,Trinidad and Tobago,50.0,,1.0,49.0,0.0,,0.0,0.02,,,,57.0
2020-03-23,51.0,,1.0,Trinidad and Tobago,51.0,,1.0,50.0,0.0,,0.0,0.02,,,,58.0
2020-03-24,57.0,,,Trinidad and Tobago,57.0,,,57.0,0.0,,-1.0,0.118,,,,65.0
2020-03-25,60.0,1.0,,Trinidad and Tobago,60.0,1.0,,59.0,0.017,inf,,0.053,100.0,180.0,350.0,68.0
