Date,Confirmed,Death,Province/State,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-05,4.0,,West Bank and Gaza,0,4.0,,0.0,4.0,0.0,,,,,,,5.0
2020-03-06,7.0,,West Bank and Gaza,0,7.0,,0.0,7.0,0.0,,,0.75,,,,8.0
2020-03-07,16.0,,West Bank and Gaza,0,16.0,,0.0,16.0,0.0,,,1.286,,,,18.0
2020-03-08,16.0,,West Bank and Gaza,0,16.0,,0.0,16.0,0.0,,,0.0,,,,18.0
2020-03-09,19.0,,West Bank and Gaza,0,19.0,,0.0,19.0,0.0,,,0.188,,,,22.0
2020-03-10,26.0,,West Bank and Gaza,0,26.0,,0.0,26.0,0.0,,,0.368,,,,30.0
2020-03-11,30.0,,West Bank and Gaza,0,30.0,,0.0,30.0,0.0,,,0.154,,,,34.0
2020-03-12,30.0,,West Bank and Gaza,0,30.0,,0.0,30.0,0.0,,,0.0,,,,34.0
2020-03-13,31.0,,West Bank and Gaza,0,31.0,,0.0,31.0,0.0,,,0.033,,,,35.0
2020-03-14,35.0,,West Bank and Gaza,0,35.0,,0.0,35.0,0.0,,,0.129,,,,40.0
2020-03-15,38.0,,West Bank and Gaza,0,38.0,,0.0,38.0,0.0,,,0.086,,,,43.0
2020-03-16,38.0,,West Bank and Gaza,0,38.0,,0.0,38.0,0.0,,,0.0,,,,43.0
2020-03-17,39.0,,West Bank and Gaza,0,39.0,,0.0,39.0,0.0,,,0.026,,,,44.0
2020-03-18,41.0,,West Bank and Gaza,0,41.0,,0.0,41.0,0.0,,,0.051,,,,47.0
2020-03-19,44.0,,West Bank and Gaza,0,44.0,,0.0,44.0,0.0,,,0.073,,,,50.0
2020-03-20,47.0,,West Bank and Gaza,0,47.0,,0.0,47.0,0.0,,,0.068,,,,54.0
2020-03-21,48.0,,West Bank and Gaza,0,48.0,,0.0,48.0,0.0,,,0.021,,,,55.0
2020-03-22,52.0,,West Bank and Gaza,0,52.0,,0.0,52.0,0.0,,,0.083,,,,59.0
2020-03-23,59.0,,West Bank and Gaza,0,59.0,,0.0,59.0,0.0,,,0.135,,,,67.0
2020-03-24,59.0,,West Bank and Gaza,0,59.0,,0.0,59.0,0.0,,,0.0,,,,67.0
2020-03-25,-1.0,-1.0,West Bank and Gaza,0,-1.0,-1.0,0.0,0.0,1.0,-inf,,-1.017,-100.0,-180.0,-350.0,-1.0
