Date,Confirmed,Province/State,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-14,1,Suriname,0,0,1.0,0.0,0.0,1.0,0.0,,,,0,0,0,1.0
2020-03-15,1,Suriname,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-16,1,Suriname,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-17,1,Suriname,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-18,1,Suriname,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-19,1,Suriname,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-20,4,Suriname,0,0,4.0,0.0,0.0,4.0,0.0,,,3.0,0,0,0,5.0
2020-03-21,4,Suriname,0,0,4.0,0.0,0.0,4.0,0.0,,,0.0,0,0,0,5.0
2020-03-22,5,Suriname,0,0,5.0,0.0,0.0,5.0,0.0,,,0.25,0,0,0,6.0
2020-03-23,5,Suriname,0,0,5.0,0.0,0.0,5.0,0.0,,,0.0,0,0,0,6.0
2020-03-24,7,Suriname,0,0,7.0,0.0,0.0,7.0,0.0,,,0.4,0,0,0,8.0
2020-03-25,8,Suriname,0,0,8.0,0.0,0.0,8.0,0.0,,,0.143,0,0,0,9.0
