Date,Confirmed,Recovered,Province/State,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-14,2.0,,Namibia,0,2.0,0.0,,2.0,0.0,,,,0,0,0,2.0
2020-03-15,2.0,,Namibia,0,2.0,0.0,,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-16,2.0,,Namibia,0,2.0,0.0,,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-17,2.0,,Namibia,0,2.0,0.0,,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-18,2.0,,Namibia,0,2.0,0.0,,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-19,3.0,,Namibia,0,3.0,0.0,,3.0,0.0,,,0.5,0,0,0,3.0
2020-03-20,3.0,,Namibia,0,3.0,0.0,,3.0,0.0,,,0.0,0,0,0,3.0
2020-03-21,3.0,,Namibia,0,3.0,0.0,,3.0,0.0,,,0.0,0,0,0,3.0
2020-03-22,3.0,,Namibia,0,3.0,0.0,,3.0,0.0,,,0.0,0,0,0,3.0
2020-03-23,4.0,,Namibia,0,4.0,0.0,,4.0,0.0,,,0.333,0,0,0,5.0
2020-03-24,7.0,2.0,Namibia,0,7.0,0.0,2.0,5.0,0.0,,inf,0.75,0,0,0,8.0
2020-03-25,7.0,,Namibia,0,7.0,0.0,,7.0,0.0,,-1.0,0.0,0,0,0,8.0
