Date,Confirmed,Recovered,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-03-07,3.0,0.0,0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,3.42,0.0,0.0,0.0
2020-03-08,3.0,0.0,0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0
2020-03-09,3.0,0.0,0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0
2020-03-10,5.0,0.0,0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.667,0.22233333333333336,2.0,inf,2.0,inf,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-03-11,6.0,0.0,0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.2,0.289,1.0,-0.5,1.0,-0.5,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-03-12,6.0,0.0,0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.289,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-03-13,12.0,1.0,0,12.0,0.0,1.0,11.0,0.0,0.0,inf,1.0,0.39999999999999997,5.0,inf,6.0,inf,0.0,0.0,1.0,inf,12.54,0.0,0.0,0.0
2020-03-14,18.0,1.0,0,18.0,0.0,1.0,17.0,0.0,0.0,0.0,0.5,0.5,6.0,0.19999999999999996,6.0,0.0,0.0,0.0,0.0,-1.0,19.38,0.0,0.0,0.0
2020-03-15,21.0,1.0,0,21.0,0.0,1.0,20.0,0.0,0.0,0.0,0.167,0.5556666666666666,3.0,-0.5,3.0,-0.5,0.0,0.0,0.0,0.0,22.799999999999997,0.0,0.0,0.0
2020-03-16,30.0,2.0,0,30.0,0.0,2.0,28.0,0.0,0.0,1.0,0.429,0.36533333333333334,8.0,1.6666666666666665,9.0,2.0,0.0,0.0,1.0,inf,31.919999999999998,0.0,0.0,0.0
2020-03-17,38.0,2.0,0,38.0,0.0,2.0,36.0,0.0,0.0,0.0,0.267,0.2876666666666667,8.0,0.0,8.0,-0.11111111111111116,0.0,0.0,0.0,-1.0,41.04,0.0,0.0,0.0
2020-03-18,38.0,2.0,0,38.0,0.0,2.0,36.0,0.0,0.0,0.0,0.0,0.23199999999999998,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,41.04,0.0,0.0,0.0
2020-03-19,53.0,2.0,0,53.0,0.0,2.0,51.0,0.0,0.0,0.0,0.395,0.22066666666666665,15.0,inf,15.0,inf,0.0,0.0,0.0,0.0,58.13999999999999,0.0,0.0,0.0
2020-03-20,64.0,2.0,0,64.0,0.0,2.0,62.0,0.0,0.0,0.0,0.208,0.20099999999999996,11.0,-0.2666666666666667,11.0,-0.2666666666666667,0.0,0.0,0.0,0.0,70.67999999999999,0.0,0.0,0.0
2020-03-21,73.0,2.0,0,73.0,0.0,2.0,71.0,0.0,0.0,0.0,0.141,0.24799999999999997,9.0,-0.18181818181818177,9.0,-0.18181818181818177,0.0,0.0,0.0,0.0,80.94,0.0,0.0,0.0
2020-03-22,90.0,2.0,0,90.0,0.0,2.0,88.0,0.0,0.0,0.0,0.233,0.19399999999999995,17.0,0.8888888888888888,17.0,0.8888888888888888,0.0,0.0,0.0,0.0,100.32,0.0,0.0,0.0
2020-03-23,107.0,2.0,0,107.0,0.0,2.0,105.0,0.0,0.0,0.0,0.189,0.18766666666666665,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,119.69999999999999,0.0,0.0,0.0
2020-03-24,110.0,2.0,0,110.0,0.0,2.0,108.0,0.0,0.0,0.0,0.028,0.15,3.0,-0.8235294117647058,3.0,-0.8235294117647058,0.0,0.0,0.0,0.0,123.11999999999999,0.0,0.0,0.0
2020-03-25,129.0,0.0,0,129.0,0.0,0.0,129.0,0.0,0.0,-1.0,0.173,0.13,21.0,6.0,19.0,5.333333333333333,0.0,0.0,-2.0,-inf,147.05999999999997,0.0,0.0,0.0
