Province/State,State,Abbreviation
WA,Washington,WA
IL,Illinois,IL
AZ,Arizona,AZ
CA,California,CA
MA,Massachusetts,MA
Diamond Princess,Diamond Princess,
OR,Oregon,OR
RI,Rhode Island,RI
FL,Florida,FL
NH,New Hampshire,NH
NY,New York,NY
GA,Georgia,GA
NC,North Carolina,NC
NJ,New Jersey,NJ
NV,Nevada,NV
TN,Tennessee,TN
TX,Texas,TX
CO,Colorado,CO
IN,Indiana,IN
KY,Kentucky,KY
MD,Maryland,MD
MN,Minnesota,MN
NE,Nebraska,NE
PA,Pennsylvania,PA
HI,Hawaii,HI
OK,Oklahoma,OK
OR,Oregon,OR
SC,South Carolina,SC
UT,Utah,UT
Grand Princess,Grand Princess,
D.C.,D.C.,
KS,Kansas,KS
MO,Missouri,MO
VA,Virginia,VA
VT,Vermont,VT
IA,Iowa,IA
LA,Louisiana,LA
Arizona,Arizona,
California,California,
Colorado,Colorado,
Connecticut,Connecticut,
District of Columbia,District of Columbia,
Florida,Florida,
Georgia,Georgia,
Hawaii,Hawaii,
Illinois,Illinois,
Indiana,Indiana,
Iowa,Iowa,
Kansas,Kansas,
Kentucky,Kentucky,
Louisiana,Louisiana,
Maryland,Maryland,
Massachusetts,Massachusetts,
Minnesota,Minnesota,
Missouri,Missouri,
Nebraska,Nebraska,
Nevada,Nevada,
New Hampshire,New Hampshire,
New Jersey,New Jersey,
New York,New York,
North Carolina,North Carolina,
Ohio,Ohio,
Oklahoma,Oklahoma,
Oregon,Oregon,
Pennsylvania,Pennsylvania,
Rhode Island,Rhode Island,
South Carolina,South Carolina,
Tennessee,Tennessee,
Texas,Texas,
Utah,Utah,
Vermont,Vermont,
Virginia,Virginia,
Washington,Washington,
Wisconsin,Wisconsin,
Arkansas,Arkansas,
Delaware,Delaware,
Michigan,Michigan,
Montana,Montana,
New Mexico,New Mexico,
South Dakota,South Dakota,
Mississippi,Mississippi,
North Dakota,North Dakota,
Wyoming,Wyoming,
Alabama,Alabama,
Alaska,Alaska,
Idaho,Idaho,
Maine,Maine,
Puerto Rico,Puerto Rico,
Virgin Islands,Virgin Islands,
Guam,Guam,
West Virginia,West Virginia,
