Date,Confirmed,Death,Province/State,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-14,1.0,,Gabon,0,1.0,,0.0,1.0,0.0,,,,,,,1.0
2020-03-15,1.0,,Gabon,0,1.0,,0.0,1.0,0.0,,,0.0,,,,1.0
2020-03-16,1.0,,Gabon,0,1.0,,0.0,1.0,0.0,,,0.0,,,,1.0
2020-03-17,1.0,,Gabon,0,1.0,,0.0,1.0,0.0,,,0.0,,,,1.0
2020-03-18,1.0,,Gabon,0,1.0,,0.0,1.0,0.0,,,0.0,,,,1.0
2020-03-19,1.0,,Gabon,0,1.0,,0.0,1.0,0.0,,,0.0,,,,1.0
2020-03-20,3.0,1.0,Gabon,0,3.0,1.0,0.0,2.0,0.333,inf,,2.0,100.0,180.0,350.0,3.0
2020-03-21,4.0,1.0,Gabon,0,4.0,1.0,0.0,3.0,0.25,0.0,,0.333,100.0,180.0,350.0,5.0
2020-03-22,5.0,1.0,Gabon,0,5.0,1.0,0.0,4.0,0.2,0.0,,0.25,100.0,180.0,350.0,6.0
2020-03-23,5.0,1.0,Gabon,0,5.0,1.0,0.0,4.0,0.2,0.0,,0.0,100.0,180.0,350.0,6.0
