Date,Confirmed,Province/State,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-13,1,Antigua and Barbuda,0,0,1.0,0.0,0.0,1.0,0.0,,,,0,0,0,1.0
2020-03-14,1,Antigua and Barbuda,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-15,1,Antigua and Barbuda,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-16,1,Antigua and Barbuda,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-17,1,Antigua and Barbuda,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-18,1,Antigua and Barbuda,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-19,1,Antigua and Barbuda,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-20,1,Antigua and Barbuda,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-21,1,Antigua and Barbuda,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-22,1,Antigua and Barbuda,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-23,3,Antigua and Barbuda,0,0,3.0,0.0,0.0,3.0,0.0,,,2.0,0,0,0,3.0
2020-03-24,3,Antigua and Barbuda,0,0,3.0,0.0,0.0,3.0,0.0,,,0.0,0,0,0,3.0
2020-03-25,3,Antigua and Barbuda,0,0,3.0,0.0,0.0,3.0,0.0,,,0.0,0,0,0,3.0
