Date,Confirmed,Death,Province/State,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-07,2.0,,Martinique,0,2.0,,0.0,2.0,0.0,,,,,,,2.0
2020-03-08,2.0,,Martinique,0,2.0,,0.0,2.0,0.0,,,0.0,,,,2.0
2020-03-09,2.0,,Martinique,0,2.0,,0.0,2.0,0.0,,,0.0,,,,2.0
2020-03-10,2.0,,Martinique,0,2.0,,0.0,2.0,0.0,,,0.0,,,,2.0
2020-03-11,3.0,,Martinique,0,3.0,,0.0,3.0,0.0,,,0.5,,,,3.0
2020-03-12,3.0,,Martinique,0,3.0,,0.0,3.0,0.0,,,0.0,,,,3.0
2020-03-13,3.0,,Martinique,0,3.0,,0.0,3.0,0.0,,,0.0,,,,3.0
2020-03-14,9.0,,Martinique,0,9.0,,0.0,9.0,0.0,,,2.0,,,,10.0
2020-03-15,9.0,,Martinique,0,9.0,,0.0,9.0,0.0,,,0.0,,,,10.0
2020-03-16,15.0,1.0,Martinique,0,15.0,1.0,0.0,14.0,0.067,inf,,0.667,100.0,180.0,350.0,17.0
2020-03-17,16.0,1.0,Martinique,0,16.0,1.0,0.0,15.0,0.062,0.0,,0.067,100.0,180.0,350.0,18.0
2020-03-18,19.0,1.0,Martinique,0,19.0,1.0,0.0,18.0,0.053,0.0,,0.188,100.0,180.0,350.0,22.0
2020-03-19,23.0,1.0,Martinique,0,23.0,1.0,0.0,22.0,0.043,0.0,,0.211,100.0,180.0,350.0,26.0
2020-03-20,32.0,1.0,Martinique,0,32.0,1.0,0.0,31.0,0.031,0.0,,0.391,100.0,180.0,350.0,36.0
2020-03-21,32.0,1.0,Martinique,0,32.0,1.0,0.0,31.0,0.031,0.0,,0.0,100.0,180.0,350.0,36.0
