State: North Carolina
Profession: Physician
Specialty/PAOP: Physician
Variable: rate per 10k
"Notes: Data include active, licensed physicians in practice in North Carolina as of October 31 of each year who are not residents-in-training"
" and are not employed by the Federal government. Physician data are derived from the North Carolina Medical Board. County"
" estimates are based on primary practice location. Population census data and estimates are downloaded from the North Carolina"
" Office of State Budget and Management via NC LINC and are based on US Census data. Source: North Carolina Health Professions"
" Data System, Program on Health Workforce Research and Policy, Cecil G. Sheps Center for Health Services Research, University"
" of North Carolina at Chapel Hill. Created March 25, 2020 at https://nchealthworkforce.unc.edu/supply/."
county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alamance,13.38,13.1,13.16,12.93,13.19,14.19,14.95,14.81,15.48,16.24,16.54,17.18,18.1,17.77,17.72,17.97,17.73,17.32,17.97
Alexander,3.87,4.42,4.04,3.4,3.7,4.78,4.68,3.82,3.79,4.02,3.22,4,4.28,4.01,3.96,3.43,3.4,4.16,4.14
Alleghany,12.18,13.02,12.88,11.84,11.91,14.66,10.91,11.72,11.74,10.69,10.74,9.94,11.85,8.14,9.91,8.04,8.93,8.9,8.88
Anson,5.93,7.5,7.84,7.4,7.49,6.58,7.09,6.71,5.91,6.75,5.93,8.52,7.51,7.22,8.31,6.88,5.46,5.07,4.68
Ashe,10.66,10.08,8.81,10.34,8.69,8.7,7.37,8.46,8.36,9.06,9.13,8.75,9.14,9.84,10.2,10.61,10.61,10.65,9.54
Avery,8.74,9.04,10.65,9.45,10.98,10.99,8.8,8.75,7.05,7.1,7.86,7.85,9.57,9.51,11.74,14.59,14.92,13.28,14.37
Beaufort,14.68,13.9,14.7,14.41,13.31,14.11,13.38,13.46,13.09,13.71,15.02,13.17,11.9,11.51,10.9,10.04,9.66,9.25,9.48
Bertie,6.07,6.55,7.09,6.62,6.58,4.57,4.65,3.51,4.48,4.48,4.22,3.83,3.87,4.37,4.37,3.9,4.03,4.53,5.04
Bladen,6.82,5.24,6.09,7.83,6.94,7.23,7.3,6.15,5.59,5.93,5.96,5.12,7.39,7.1,8.54,7.71,8.65,7.27,8.79
Brunswick,10.12,9.75,9.52,9.41,10.14,9.23,9.79,9.96,10.5,10.17,10.45,10.99,9.95,10.11,10.69,11.25,10.65,11.01,10.56
Buncombe,31.89,32.79,32.49,33.09,33.32,34.95,35.47,35.81,35.67,36.36,35.16,35.39,36.21,38.09,39.64,40.3,42.57,43.02,43.98
Burke,17.95,18.2,18.35,18.6,18.9,19.2,20.87,20.47,21.28,20.74,20.77,21.16,20.67,22.9,22.87,23.9,22.38,23.93,23.33
Cabarrus,20.91,20.54,21.46,21.21,21.04,21.96,23.29,23.18,24.11,24.44,24.58,24.55,24.79,23.01,23.61,23.45,22.97,22.48,22.31
Caldwell,9.69,9.92,10.35,10.27,9.54,9.14,9.08,9.7,9.87,9.98,9.74,9.75,9.81,9.7,9.46,9.2,8.58,9.48,9.29
Camden,5.81,4.24,4.18,4.13,3.82,1.13,1.08,1.05,2.07,1.04,1,1.01,0,0,0,0,0,0,0
Carteret,15.66,16.28,14.96,15.65,15.54,15.06,15.73,15.01,14.64,15.3,16.19,16.54,17.85,15.31,15.72,15.04,15.45,15.24,15.72
Caswell,4.68,5.9,5.41,4.94,6.26,3.77,5.52,4.68,3.43,4.69,6.34,5.07,4.26,2.52,2.97,3.39,3.8,2.53,2.11
Catawba,22.94,23.09,21.91,21.9,22.51,22.96,23.49,23.34,23.36,23.56,24.76,24.39,24.5,24.71,24.77,24.96,25.31,25.49,25.09
Chatham,7.1,7.07,7.51,6.61,7.5,7.11,7.28,7.61,6.9,6.72,6.58,6.82,7.06,5.32,5.53,5.15,5.59,5.48,4.71
Cherokee,18.11,16.19,15.95,14.93,14.4,14.2,14.22,12.21,14.51,11.57,12.71,14.65,14.43,13.1,13.48,13.68,10.14,10.95,11.05
Chowan,18.59,18.63,17.81,18.35,18.68,19.29,21.8,19.78,21.11,22.27,21.68,22.98,21.03,22.27,19.81,18.57,18.04,20.99,21.16
Clay,4.56,6.65,5.47,6.48,7.37,7.13,5.93,5.81,6.79,5.79,3.77,4.78,4.75,4.63,3.71,3.62,6.18,5.22,3.43
Cleveland,13.92,14.46,14.81,14.64,15.23,16.56,17.68,17.81,16.95,16.02,17.1,17.11,17.81,17.24,17.57,16.96,16.18,16.84,16.69
Columbus,8.58,9.85,9.57,10.01,9.47,10.25,10.43,10.65,10.41,11.19,10.65,11.79,11.23,10.56,12.49,12.76,12.24,13,11.77
Craven,19.69,19.79,20.41,21.24,22.47,22.57,20.93,20.95,21.38,21.24,21.55,21.82,22.25,23.65,24.3,24.79,25.64,25.84,24.86
Cumberland,14.49,15.05,14.07,14.48,14.86,14.95,15.76,15.75,15.96,16.01,16.11,16.6,17.38,17.53,18.25,18.91,18.71,18.2,18.44
Currituck,3.3,3.18,3.11,3.04,2.85,2.65,3.39,2.95,2.55,3.4,3.82,3.81,4.21,3.26,3.19,3.12,3.45,3.76,4.43
Dare,11.35,10.9,11.63,13.26,13.86,14.51,13.53,14.88,15.67,15.77,15.94,16.07,15.8,16.73,16.38,16.94,17.59,19.3,17.49
