State: North Carolina
Profession: Pharmacist
Specialty/PAOP: Pharmacist
Variable: rate per 10k
"Notes: Data include active, licensed pharmacists in practice in North Carolina as of October 31 of each year. Pharmacist"
" data are derived from the North Carolina Board of Pharmacy. Population census data and estimates are downloaded from the"
" North Carolina Office of State Budget and Management via NC LINC and are based on US Census data. Source: North Carolina"
" Health Professions Data System, Program on Health Workforce Research and Policy, Cecil G. Sheps Center for Health Services"
" Research, University of North Carolina at Chapel Hill. Created March 25, 2020 at https://nchealthworkforce.unc.edu/supply/."
county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alamance,7.57,7.49,7.5,7.37,7.28,7.71,7.8,7.82,8.01,8.16,8.04,8,8.17,7.42,8.09,8.7,8.49,8.75
Alexander,4.46,4.42,4.91,4.25,3.98,5.35,5.23,5.18,5.14,4.82,4.56,5.33,6.69,6.41,4.76,5.01,4.96,4.94
Alleghany,3.75,4.65,4.6,2.73,4.58,6.41,6.36,6.31,6.32,4.45,6.27,5.42,3.65,5.43,4.5,5.36,5.36,4.45
Anson,4.75,3.95,3.92,3.9,4.33,3.1,3.94,3.55,3.94,4.37,4.82,4.26,4.13,5.32,6.05,4.97,4.29,3.12
Ashe,6.15,5.65,6.81,7.56,7.5,5.93,6.21,6.54,6.46,6.04,6.21,5.83,6.58,7.65,8.02,8.78,8.41,9.19
Avery,7.57,9.04,8.97,9.45,9.33,10.44,9.35,9.84,10.85,9.29,10.11,9.53,11.26,11.19,7.82,11.23,11.05,11.62
Beaufort,6.67,6.4,6.14,6.99,6.77,7.16,6.69,7.16,6.87,6.96,7.09,8.15,9.19,9.63,9.01,8.57,9.03,9.04
Bertie,4.05,5.04,3.04,2.54,4.05,4.06,4.13,4.51,4.48,4.48,3.75,4.31,3.39,3.88,3.4,3.41,3.02,4.02
Bladen,4.03,4.01,3.96,4.21,4.23,4.52,4.56,4,3.73,3.74,3.69,4.27,4.83,5.11,5.13,5.43,5.77,5.23
Brunswick,6.29,7.41,7.23,6.93,7.52,7.87,6.95,7.24,7.68,6.72,7.3,7.35,7.19,6.39,6.7,8.01,7.91,6.45
Buncombe,10.71,10.69,11.13,11.69,12.07,12.23,12.43,13.03,13.16,13.8,12.5,13.45,14.58,15.15,16.04,16.05,16.83,17.47
Burke,8.08,8.87,8.07,8.16,8.12,8.87,8.57,8.59,8.29,8.81,8.24,7.94,8.56,8.6,9.08,9.43,9.58,9.86
Cabarrus,8.77,9.02,8.8,8.86,9.94,9.32,9.61,9.85,10.5,9.18,10.17,10.21,10.62,10.57,11.15,12.67,12.41,10.56
Caldwell,5.3,4.64,4.86,4.57,4.83,5.33,5.42,5.8,6.12,6.36,6.01,6.5,6.78,6.91,7.03,7.63,8.09,8.16
Camden,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0.98,0.98,0,1.94,0.97
Carteret,7.58,7.55,7.65,8.24,8.83,8.33,8.65,9.64,10.86,9.89,11.24,11.08,11.56,10.54,12.55,13.18,13.88,11.97
Caswell,3.4,2.95,2.91,2.88,2.5,2.51,2.55,2.98,4.28,3.41,4.22,4.65,5.96,4.61,5.08,5.51,5.07,3.8
Catawba,8.89,8.13,8.14,8.81,9.07,8.7,9.26,8.6,8.97,8.21,9.25,10.07,9.84,10.04,9.88,10.65,11.57,12.42
Chatham,3.85,4.32,5.2,5.29,4.94,4.98,5.55,5.58,6.73,5.76,6.73,6.2,6.16,6.21,4.51,5.99,6.28,4.68
Cherokee,10.29,9.31,9.57,9.82,8.95,10.36,9.73,8.51,9.3,9.33,9.08,9.16,8.51,9.83,9.11,8.28,8.74,7.19
Chowan,7.57,6.9,6.16,6.8,7.61,5.51,5.45,5.46,7.49,8.77,11.52,9.46,8.82,8.1,8.88,9.63,9.72,9.8
Clay,5.7,5.54,5.47,5.4,6.32,8.15,5.93,5.81,6.79,6.75,7.53,7.65,7.6,7.41,8.34,11.78,11.48,11.32
Cleveland,5.71,6.3,5.92,5.86,6.29,5.73,6.31,7.1,7.76,7.2,7.23,7.23,7.78,8.52,7.86,8.99,8.96,8.62
Columbus,9.32,10.39,9.39,7.68,8.92,9.33,9.51,9.36,9.86,9.59,10.31,11.1,11.75,10.74,11.1,12.06,11.89,11.42
Craven,6.89,6.2,5.94,6.86,7.49,7.49,8.16,8.51,7.98,7.98,7.7,7.72,7.51,8.33,8.04,8.39,9.16,9.64
Cumberland,5.94,5.88,5.97,5.93,6.07,6.45,6.49,6.54,6.28,7.04,6.64,7.11,7.74,8.57,8.68,8.39,8.88,11.41
Currituck,1.65,1.06,1.04,1.52,1.9,1.77,1.7,1.69,1.7,1.7,1.7,1.27,1.26,1.63,1.2,1.56,1.53,1.88
Dare,7.34,7.05,7.54,9.56,10.03,9.11,7.77,9.34,10.35,10.51,9.74,10.81,11.2,10.77,9.88,9.44,9.07,8.43
Davidson,5.23,5.57,5.89,5.48,5.72,5.36,4.57,4.92,4.72,4.81,4.59,5.63,5.32,5.01,4.93,5.15,4.69,4.79
Davie,4.02,4.69,4.88,6.13,6.6,5.95,5.52,6.68,6.59,6.23,6.28,7.46,7.97,6.5,7.72,8.86,9.71,8.66
Duplin,5.3,5.24,4.93,5.79,5.4,4.79,5.69,6.21,6.92,6.89,5.62,5.21,5,5.32,9.65,5.51,5.7,5.55
Durham,28.75,28.54,28.22,26.19,26.66,26.68,25.81,26.54,24.34,24.87,21.86,23.5,24.99,25.8,24.5,21.16,21.36,26.81
Edgecombe,4.86,3.84,4.03,3.85,4.09,3.92,4.56,4.83,4.83,5.45,4.59,4.28,4.64,5.03,4.69,5.33,5.79,6.05
Forsyth,12.15,12.15,12.05,12.39,12.61,13.35,13.62,13.49,13.85,13.97,14.16,14.71,15.9,16.15,17.05,18.17,18.72,19.37
Franklin,2.96,3.48,3,3.92,3.41,2.95,3.62,3.37,3.63,3.72,4.26,4.38,4.53,3.67,4.27,5.61,5.04,3.91
Gaston,7.46,7.59,8,7.83,8.05,8.05,8.11,8.51,8.78,8.73,8.92,8.67,9.54,9.54,10.72,11.05,11.65,11.07
Gates,2.85,0.95,1.89,1.86,2.76,2.71,2.59,2.54,2.59,1.72,0.82,0.84,0.85,0.84,1.68,0.85,0.84,0.84
Graham,5,4.98,4.93,4.89,6.14,4.94,4.93,3.68,3.71,3.6,2.25,5.59,5.65,5.65,5.66,5.71,6.79,6.79
