Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-04 15:13:18,Poland,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1,5449,1,1,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-03-06 16:43:04,Poland,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,5,6181,5,5,0.0,10.0,0.0,0.0,10.0,0.0,,,4.0,0.0,0.0,0.0,11.0
2020-03-08 21:13:10,Poland,0.0,0.0,0.0,11.0,0.0,0.0,11.0,11.0,4,3562,4,4,0.0,11.0,0.0,0.0,11.0,0.0,,,0.1,0.0,0.0,0.0,13.0
2020-03-09 11:33:10,Poland,0.0,0.0,0.0,16.0,0.0,0.0,16.0,16.0,5,3676,5,5,0.0,16.0,0.0,0.0,16.0,0.0,,,0.455,0.0,0.0,0.0,18.0
2020-03-10 20:13:07,Poland,0.0,0.0,0.0,22.0,0.0,0.0,22.0,22.0,6,3919,6,6,0.0,22.0,0.0,0.0,22.0,0.0,,,0.375,0.0,0.0,0.0,25.0
2020-03-11 20:00:00,Poland,0.0,0.0,0.0,68.0,2.0,0.0,66.0,66.0,7,4156,7,7,2.0,68.0,2.0,0.0,66.0,0.029,inf,,2.091,200.0,360.0,700.0,78.0
2020-03-11 21:13:21,Poland,0.0,0.0,0.0,31.0,0.0,0.0,31.0,31.0,8,4363,8,8,0.0,31.0,0.0,0.0,31.0,0.0,-1.0,,-0.544,0.0,0.0,0.0,35.0
2020-03-12 13:33:02,Poland,0.0,0.0,0.0,49.0,1.0,0.0,48.0,48.0,9,4534,9,9,1.0,49.0,1.0,0.0,48.0,0.02,inf,,0.581,100.0,180.0,350.0,56.0
2020-03-14 22:53:02,Poland,0.0,0.0,0.0,103.0,3.0,0.0,100.0,100.0,10,4988,10,10,3.0,103.0,3.0,0.0,100.0,0.029,2.0,,1.102,300.0,540.0,1050.0,117.0
2020-03-15 18:20:18,Poland,0.0,0.0,0.0,119.0,3.0,0.0,116.0,116.0,11,5135,11,11,3.0,119.0,3.0,0.0,116.0,0.025,0.0,,0.155,300.0,540.0,1050.0,136.0
2020-03-16 21:13:17,Poland,0.0,0.0,0.0,177.0,4.0,13.0,173.0,160.0,12,5473,12,12,4.0,177.0,4.0,13.0,160.0,0.023,0.333,inf,0.487,400.0,720.0,1400.0,202.0
2020-03-17 20:53:02,Poland,0.0,0.0,0.0,238.0,5.0,13.0,233.0,220.0,13,5711,13,13,5.0,238.0,5.0,13.0,220.0,0.021,0.25,0.0,0.345,500.0,900.0,1750.0,271.0
2020-03-18 13:33:12,Poland,0.0,0.0,0.0,251.0,5.0,13.0,246.0,233.0,14,5917,14,14,5.0,251.0,5.0,13.0,233.0,0.02,0.0,0.0,0.055,500.0,900.0,1750.0,286.0
2020-03-19 20:13:28,Poland,0.0,0.0,0.0,355.0,5.0,1.0,350.0,349.0,15,6216,15,15,5.0,355.0,5.0,1.0,349.0,0.014,0.0,-0.923,0.414,500.0,900.0,1750.0,405.0
2020-03-20 20:13:17,Poland,0.0,0.0,0.0,425.0,5.0,1.0,420.0,419.0,16,6461,16,16,5.0,425.0,5.0,1.0,419.0,0.012,0.0,0.0,0.197,500.0,900.0,1750.0,484.0
2020-03-21 20:43:02,Poland,0.0,0.0,0.0,536.0,5.0,1.0,531.0,530.0,17,6697,17,17,5.0,536.0,5.0,1.0,530.0,0.009,0.0,0.0,0.261,500.0,900.0,1750.0,611.0
2020-03-22 23:45:00,Poland,52.215933,19.134422,0.0,634.0,7.0,13.0,627.0,614.0,18,0,18,18,7.0,634.0,7.0,13.0,614.0,0.011,0.4,12.0,0.183,700.0,1260.0,2450.0,723.0
2020-03-23 23:19:21,Poland,52.215933,19.134422,0.0,749.0,8.0,13.0,741.0,728.0,19,1,19,19,8.0,749.0,8.0,13.0,728.0,0.011,0.143,0.0,0.181,800.0,1440.0,2800.0,854.0
2020-03-24 23:37:15,Poland,52.215933,19.134422,0.0,901.0,10.0,1.0,891.0,890.0,20,2,20,20,10.0,901.0,10.0,1.0,890.0,0.011,0.25,-0.923,0.203,1000.0,1800.0,3500.0,1027.0
2020-03-25 23:33:04,Poland,52.215933,19.134422,0.0,1051.0,14.0,7.0,1037.0,1030.0,21,3,21,21,14.0,1051.0,14.0,7.0,1030.0,0.013,0.4,6.0,0.166,1400.0,2520.0,4900.0,1198.0
