Date,Country/Region,Confirmed,Death,Recovered,Day,Active Cases,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate
2020-01-22,China,548.0,17.0,28.0,548.0,503.0,1700.0,3060.0,5950.0,0.031,,,
2020-01-22,Japan,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,
2020-01-22,"Korea, South",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
2020-01-22,Taiwan*,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
2020-01-22,Thailand,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,
2020-01-22,US,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
2020-01-23,China,643.0,18.0,30.0,643.0,595.0,1800.0,3240.0,6300.0,0.028,0.05882352941176472,0.0714285714285714,0.17335766423357657
2020-01-23,Japan,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,-0.5
2020-01-23,"Korea, South",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-23,Singapore,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
2020-01-23,Taiwan*,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-23,Thailand,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,0.5
2020-01-23,US,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-23,Vietnam,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,
2020-01-24,China,920.0,26.0,36.0,920.0,858.0,2600.0,4680.0,9100.0,0.028,0.4444444444444444,0.19999999999999996,0.43079315707620536
2020-01-24,France,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,
2020-01-24,Japan,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,1.0
2020-01-24,"Korea, South",2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,1.0
2020-01-24,Singapore,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,2.0
2020-01-24,Taiwan*,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,2.0
2020-01-24,Thailand,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.6666666666666667
2020-01-24,US,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,1.0
2020-01-24,Vietnam,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-25,China,1406.0,42.0,39.0,1406.0,1325.0,4200.0,7560.0,14700.0,0.03,0.6153846153846154,0.08333333333333326,0.5282608695652173
2020-01-25,France,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,0.5
2020-01-25,Japan,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-25,"Korea, South",2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-25,Malaysia,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,
2020-01-25,Nepal,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
2020-01-25,Singapore,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-25,Taiwan*,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-25,Thailand,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,,,0.3999999999999999
2020-01-25,US,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-25,Vietnam,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-26,Australia,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,
2020-01-26,Canada,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
2020-01-26,China,2075.0,56.0,49.0,2075.0,1970.0,5600.0,10080.0,19600.0,0.027,0.33333333333333326,0.2564102564102564,0.4758179231863442
2020-01-26,France,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-26,Japan,4.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,,inf,1.0
2020-01-26,"Korea, South",3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,0.5
2020-01-26,Malaysia,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.33333333333333326
2020-01-26,Nepal,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-26,Singapore,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.33333333333333326
2020-01-26,Taiwan*,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.33333333333333326
2020-01-26,Thailand,8.0,0.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,,inf,0.1428571428571428
2020-01-26,US,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.5
2020-01-26,Vietnam,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-27,Australia,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.25
2020-01-27,Cambodia,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
2020-01-27,Canada,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-27,China,2877.0,82.0,58.0,2877.0,2737.0,8200.0,14760.0,28700.0,0.029,0.4642857142857142,0.18367346938775508,0.38650602409638557
2020-01-27,France,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-27,Germany,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
2020-01-27,Japan,4.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-27,"Korea, South",4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.33333333333333326
2020-01-27,Malaysia,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-27,Nepal,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-27,Singapore,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.25
2020-01-27,Sri Lanka,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
2020-01-27,Taiwan*,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.25
2020-01-27,Thailand,8.0,0.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-27,US,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-27,Vietnam,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-28,Australia,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-28,Cambodia,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-28,Canada,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,1.0
2020-01-28,China,5509.0,131.0,101.0,5509.0,5277.0,13100.0,23580.0,45850.0,0.024,0.5975609756097562,0.7413793103448276,0.9148418491484185
2020-01-28,France,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.33333333333333326
2020-01-28,Germany,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,3.0
2020-01-28,Japan,7.0,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.75
2020-01-28,"Korea, South",4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-28,Malaysia,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-28,Nepal,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-28,Singapore,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,,,0.3999999999999999
2020-01-28,Sri Lanka,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-28,Taiwan*,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,,,0.6000000000000001
2020-01-28,Thailand,14.0,0.0,5.0,14.0,9.0,0.0,0.0,0.0,0.0,,1.5,0.75
2020-01-28,US,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-28,Vietnam,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-29,Australia,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.19999999999999996
2020-01-29,Cambodia,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-29,Canada,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-29,China,6087.0,133.0,120.0,6087.0,5834.0,13300.0,23940.0,46550.0,0.022,0.01526717557251911,0.18811881188118806,0.10491922308948998
2020-01-29,Finland,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
2020-01-29,France,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.25
2020-01-29,Germany,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-29,Japan,7.0,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-29,"Korea, South",4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.0
2020-01-29,Malaysia,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,,,0.75
2020-01-29,Nepal,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
